Commentaire,star,long_com,mots_neg,trouve_int,trouve_exc,nb_pt,mot_maj,nb_maj,target
commande effectuee mois decembre colis perdu aucunes reponses mails bien impossible rembourser premiere arrive deja perdu plusieurs colis cas derniere commanderais site fuir ,1,312,5,0,0,0,0,2,0
commande effectuee demande remboursement eur seulement recu jamais reponses service client plusieurs relances commande ndeg chemise jamais remboursee ,1,215,2,0,0,0,0,2,0
decue concernant commande showroom commande paire bottes blackfield recu paire bottes faudrait expliquer comment possible confondre tailles facon retrouve sans possibilite echange paire bottes voulais vraiment commande numero avis contacte service client showroomprive propose renvoyer article etre remboursee demarches bien passees viens etre remboursee compte remercie ayoub necessaire ,4,642,2,1,0,1,0,12,1
ecrire pendant mois rembourser plis recu moitie jamais recu commande service client prends sais agit reels personnes commanderai jamais ,1,260,1,0,0,0,0,3,0
viens contacter service client obtenir duplicata facture cambriolage parents assurance ans donne annee descriptif souviens numero vente nom historique ventes repond trop peut part confirmation inutilite service client linterlocutrice repond contente showroomprivee changer site raccroche nez enorme raison laquelle commande employe devrait apprendre definition sens commerce ,1,703,3,4,0,4,1,12,0
recois colis ans parlons service livraison dpd grand importe quoi respect date livraison livre coup recommande site ,1,241,0,0,0,0,1,5,0
recu produit casse showroom balade depuis mois disant allons etre contacte sous jours mentent veulent rembourser produit sous pretexte delai retractation passe sauf produit cadeau noel commande avance assurer disponibilite agit retractation retour produit defectueux aujourd hui produit remboursement depuis mois action justice cours preparation nadia charef ,1,591,7,15,0,15,3,27,0
message site effectivement contactee telephone afin trouver solution offert bon valeur draps utiliser site egalement commande tableau correspondait photo frais port retour pris charge merci geste commercial dommage passer trust pilot trouver solution ,3,436,0,0,0,0,0,6,0
rejoins tous autres moins moins fiable tailles non valables souvent bijoux vetements dommage ,1,132,1,0,0,0,0,3,0
achat quel achat iphone xs reconditionne vendu lagoona er telephone recu debut decembre offert fils ans noel probleme bruit declencheur appareil photo supprimable aucun cas certains iphone vendu pays etranger batterie charge fond seulement renvoie sav lagoona frais port bravo sav delais mois retour autre telephone finallement echange nouveau telephone semaines recevoir probleme chronopost batterie toujours probleme bruit appareil photo reponse cahier charges normale batterie bruit no supprimant appareil photo panne trouve service sav vendeurs showroom lagoona deplorable impossible etre rembourse delais retractation depasse presque telephone mains maintenant jours boite aucun gestes commerciale showroom bien commande continuerais seulement veepe soucis clients ,1,1190,7,0,0,0,4,31,0
plusieurs commande via sitequalite produits souvent deplorables frais retour charge sav raccroche nezderniere ,1,168,0,0,0,0,1,7,0
commande barre caisson fin juin garantie constructeur ans fonctionnait appelle disent appeler constructeur dit showroomprive voir recontacte showroom dit rappellent rappelle depuis fin juin finalement janvier dit arrivent joindre fabricant coup dit devis euros darty fnac sachant achete barre dis hors question repond renvoyer barre vais etre remboursedonc six mois attente depuis fevrier tt recu tjrs recu juste dit excuse ,1,765,0,4,0,4,1,9,0
showroom arnaque aucun suivie commande mensonge date expedition payer prix fort honorent livraison vends articles stock laisse trainer clients sans nouvelle confonde excuse resous presses surtout commandez site quite payer cher rabattre autres ventes plusieurs reprises schema voulais mettre zero etoile ,1,483,4,0,0,0,0,2,0
commandes passees espace mois renvoyees expediteur directement poste motif deterioration colis non acces boite lettres teletravail desolant voir livreurs donnent peine sonner plaignent personne domicile service client restant agreable showroomprive fini recommande mode livraison ,1,463,2,1,0,1,0,0,0
bien confirme chaque chose viens mail informant commande retardee bien debitent comptes avant envoye commandes non commande revlon ,1,242,2,0,1,1,1,11,0
peu degoute achete montre connectee copine ressemble image ,2,101,1,0,0,0,0,2,0
passe commande amenager terrasse montant euros articles livres abimes monte articles disant pouvait etre juste carton abime article complement defectueux abime pieces manquantes ose ouvrir autres colis retour impossible article partiellement monte propose solution bon achat euros copine dit pouvais confiance site eh bien degoutee grosse grosse deception ,2,551,2,0,0,0,0,8,0
enfin bout tunnel merci mr ayoub service clients showrooprive necessaire remboursement ,5,128,1,0,0,0,0,4,1
commande fin novembre cense recevoir courant decembre regardant compte constate livraison disant or jamais livre avise posteje contacte immediatement services censes contacter poste fais ainsi voisins afin voir colis livre erreur recu mail demandant retourner attestation honneur non reception colisje empresse suivre directives voyant personne manifester bout tant temps permets relancer dit trop tard peut envoyer courrier bref foutent interlocutrice essaye trouver solution ferme antipathique met clairement doute parolej encore poste rapport colis enfin avoue enormement colis non livre vole non menteuse voleuse shoroomprive prix paye euros commande non recue derobe inadmissible laisserai ,1,1204,11,0,0,0,0,8,0
premiere experience aucun probleme achete paire chaussure parfait revanche deuxieme met vraiment colere achete paires chaussures allaient cause taille demande retour propres moyens sans utiliser etiquette temps dire avant jours appelle service client savoir quel point relais dois envoyer colis personne comprendre importance envoie pres locaux showroom final coli va etre renvoye showroom recupere appele service client dit faudrait renvois deuxieme frais preciserait contexte service concerne via message etant certaine etre rembourse vais debrouiller autrement termine showroomprive arnaqueurs justifie reportant faute mondial relais ,1,999,3,0,0,0,0,6,0
commande effectuee mois decembre colis perdu aucunes reponses mails bien impossible rembourser premiere arrive deja perdu plusieurs colis cas derniere commanderais site fuir ,1,312,5,0,0,0,0,2,0
commande effectuee demande remboursement eur seulement recu jamais reponses service client plusieurs relances commande ndeg chemise jamais remboursee ,1,215,2,0,0,0,0,2,0
decue concernant commande showroom commande paire bottes blackfield recu paire bottes faudrait expliquer comment possible confondre tailles facon retrouve sans possibilite echange paire bottes voulais vraiment commande numero avis contacte service client showroomprive propose renvoyer article etre remboursee demarches bien passees viens etre remboursee compte remercie ayoub necessaire ,4,642,2,1,0,1,0,12,1
ecrire pendant mois rembourser plis recu moitie jamais recu commande service client prends sais agit reels personnes commanderai jamais ,1,260,1,0,0,0,0,3,0
viens contacter service client obtenir duplicata facture cambriolage parents assurance ans donne annee descriptif souviens numero vente nom historique ventes repond trop peut part confirmation inutilite service client linterlocutrice repond contente showroomprivee changer site raccroche nez enorme raison laquelle commande employe devrait apprendre definition sens commerce ,1,703,3,4,0,4,1,12,0
recois colis ans parlons service livraison dpd grand importe quoi respect date livraison livre coup recommande site ,1,241,0,0,0,0,1,5,0
recu produit casse showroom balade depuis mois disant allons etre contacte sous jours mentent veulent rembourser produit sous pretexte delai retractation passe sauf produit cadeau noel commande avance assurer disponibilite agit retractation retour produit defectueux aujourd hui produit remboursement depuis mois action justice cours preparation nadia charef ,1,591,7,15,0,15,3,27,0
message site effectivement contactee telephone afin trouver solution offert bon valeur draps utiliser site egalement commande tableau correspondait photo frais port retour pris charge merci geste commercial dommage passer trust pilot trouver solution ,3,436,0,0,0,0,0,6,0
rejoins tous autres moins moins fiable tailles non valables souvent bijoux vetements dommage ,1,132,1,0,0,0,0,3,0
service lamentable responsable incapable colis devait etre livre pres bien recu mail recuperer deplacee colis puis recu autre mail disant autre ville kms rendue colis recu eme mail envoyant autre ville kms toujours reclamation seule chose dit va envoyer formulaire desistement enquete menee kms parcourus inadmissible seul geste co propose eur peu kilometre temps perdu recommande site fidelise clients moque mauvaise experience ,1,845,5,0,0,0,1,6,0
achat jardin potager valant disant euros solde euros via jardikt trouve non solde prix autres sites produit livre barres separation longues trop courtes dont cassee livraison raison noeud barres separation courtes trop longues gag produit bas gamme peinture photo adaptee bois planches etaient rabotees cote bref deception totale produit prix casse produit ,1,570,4,2,0,2,0,8,0
attention surtout jamais erreur reserve sejour showroom annulation vol pandemie contacte compagnie annuler reservation hotel surprise annonce remboursement integral possible quel blague ,1,318,5,6,0,6,2,22,0
ndeg commande mois attente oui faut parfois attendre mois recevoir produit showroom prive recois canape colis bingo grand showroom prive colis differents morceaux bien parti canape autre strictement voir modele couleur tissu ressemblent bravo vrais champions evidemment telephone dit recontacte sous ouvrees aucune prise charge immediate reactivite gestion litiges mois attente livraison moindre choses montre bien toute consideration porte showroom prive clients chose sure determines arreterons jusqu gestion satisfaisante litige bon entendeur ,1,869,1,1,0,1,2,21,0
quelques heures avis showroomprive contactee intermediaire ayoub remercie felicite gentillesse reactivite obtenu satisfaite pense cependant amelioration apporter service reclamation clients compte tenu experience lisant avis negatifs autres clients truspilot ,4,382,0,0,0,0,0,3,1
commande tres decue service client showroomprive commande retourne recu remboursement montant article retourne depuis mois novembre fais reclamation aucune relance reclamation janvier fevrier zero retour service client incompetent ,1,340,3,0,0,0,0,6,0
commandes livres manquait article eme modifie avant envoie enlever element commande ,2,146,2,0,0,0,0,0,0
bonjour achete produits by terry fin decembre eyeliner sec mis peu temps contacter voulu savoir remboursee trouve commercant veepee adaptent cas cas sav decevant numero commande ,1,358,4,0,0,0,0,9,0
commande shoroomprive vient repondre rembourse frais port dois reconnaitre sav efficace mauvaise experience reflete realite site wahou deux cachemire soie blague viscoses oui oui oubliez mentionner eur piece attention retour perdez eur pieces mal arnaque attends toujours remboursement sic ,1,482,5,3,0,3,0,7,0
bonjour monsieur ayoubce matin recu jean quejnavais commander grande surprise commande taille recu grand importe quoi etiquette jean taille lorsque essaye jean plutot taille appele showroomprive essaye bon retour trompe clique retour propres moyens contre viens apercevoir va payer frais retour devez comprendre accord commande taille recois taille erreur vient preparateur commande etiquetagepouvez envoyer bon retour mail puisse mettre postemonsieur ayoub avance mercidan laforgue ,4,825,3,0,0,0,0,10,1
voulais commander table basse prix affiche reduction arriver eur balade internet verification prix tombe site vendeur officiel prix affiches tarifs normal egal prix solde site showroom gros attires prix soldes realite trompe consommateur prix soldes correspondent valeur reelle articles non soldes toutes periode ,1,483,1,0,0,0,0,1,0
merci ayoub reactivite reponse souci contacter saura repondre ,4,113,1,0,0,0,0,2,1
retour articles debut janvier fevrier prevenu semaines avant date remboursement compte bancaire lequel commande cloture fallait remboursement nouveau compte showroom nargue repondant remboursement ancien compte mytho mytho effet peut virement prelevement compte solde argent toujours showroom showroom prive sait bien responsables censes appeler personne certain ayoub dit contactee telephone sauf jamais recu appel refile dossier quelqu autre appelle quelqu refile dossier quelqu autre envoye document ancienne banque prouvant virement part silence radio tiens tiens bizarre savez bien rembourser volez gens actuellement galere financiere osez envoyer mails achete choses honte veux argent depuis commercant refuse rembourser appelle voleur dossier envoye dgccrf attends retour service juridique personnes lesees showroom prenez contact dgccrf faut passer devant justice souci non seulement allez rembourser demanderai dommages interet prejudices subis manque respect part service clientele retard paiement ,1,1777,15,44,0,44,21,124,0
eviter attention pratique douteuse remboursement produits defecteux commande euros achat rembourse integralement utilisent bons achats rembourser produit deffecteux euros euros bon achat condition depart bon achat euros partir euros achat integralite commande or enleve prix perle euros euros commande bon achat toujours valable aucune raison deduit remboursement vendeur ligne fuir pratiques commerciales ,1,647,5,5,0,5,0,7,0
achete lot chaises bout quelques mois cassees unes autres nombreux contacts insistant showroom enfin pris decision rembourser merci ,4,231,2,0,0,0,1,11,1
achete portable reconditionne showroom bout mois probleme telephone eteint dit contacter sav fournisseur prs regle probleme rapidement mois rebelotte exactement probleme recontacte sav prs envois portable intact photo appui bien emballe boite origine mousse protectrice ecran enveloppe bulle photo appui prs indique mail receptionne portable bout plusieurs jours envoit msg disant portable presente fissure externe envoient photo ecran fissure ecran intact pris charge garantie renvoie portable appelle explique cas photos preuve interet photos remet doute bonne foi disant peut etre photos autre portable envoye demande parler responsable disponible envois mails envois recommande nouvelles contacte showroom regler litige fournisseur ere personne rappelle dit allez etre contacte livreur sous heures retourner rembourse dit waw showroom top reactifs jours recontacte monter dossier demande toutes photos accuse reception recommande mails etc envois dit fournisseur jours ouvres repondre jours ouvres passent reponse puis rappelle dire bon fournisseur delais dit reclamation poste casse crois casse livraison vu comment bien emballe aussi pourquoi attendu plusieurs jours avant dire casse sais peine perdu poste vu photos bien emballe autre personne showroom dit peut voyez poste inadmissible veulent poste rembourse casse portable regardez avis fournisseur bcp subi chose dit showroom regler resultat portable eteint depuis decembre depuis mois passe temps appeller prs showroom mails recommande etc final dechargent poste fournisseur pro showroom pense vendre quantite qualite gere convenablement problemes client eviter achetez telephones reconditionnes apple trop problemes sav nul voici dossier ,1,2817,17,11,0,11,7,58,0
decue commande lampe trepied jamais arrive relancer enormement esperant remboursent bien convenu reste commandes arrivent ,1,213,0,1,0,1,0,1,0
bonjour commande pull cachemire ya mois jamais recu devait rembourser jamais recu euros decu ,1,168,1,5,0,5,0,0,0
tres mal rembouser retour marchandise depuis ,1,66,1,0,0,0,0,0,0
viens recevoir colis contente tables chevets magnifiques console egalement malgre cher merci beaucoup ,5,149,1,0,0,0,0,3,1
commande site showroomprive salons jardins aout reception rendons compte salons jardins manquait quoi construire chaises appelons service client mainte mainte interlocuteur discours differents pouvez envoyer photo manque possible trouver pieces autre fournisseur mois tard aucune nouvelle part encore rappele dit preuve renvoie colis chose envoye moins fevrier mois encore tard nouvelles part sous pretexte mail traite pourtant autre interlocuteur dit colis bien receptionne informations passe encore rappele site incompetent foutu rembourser foutu commande passe complete lorsque rappele dit rembourser seulement salon livraison etre incompetent radins recommanderai site ,1,1218,5,0,3,3,0,10,0
achete iphone showroomprive via prestataire prs recyclage mobile noel fille cadeau overt telephone semaine reconnait plu carte sim aucun reseau etc necessaire declaration marcher garantie societe prs sav refuse prendre charge reparations disant reparer telephone autre technicien auparavant changer bouton home dore non argente lorsque telephone servi maximum recu aucun technicien reparation dessus toujours aucune solution deconseille achat via prestataires prs recyclage mobile ,1,773,2,0,0,0,4,20,0
commande produits hannah home produits leger qualite manques vis paquet necessitant racheter pratique dimanche notices non traduite mal explique feuille extremement decu commande meubles eur mettre zero etoile ,1,313,3,0,0,0,0,2,0
edit remboursements devaient etre faits recu manque definitivement bannie applications showroomprive termine edit contactee showroomprive evaluation frais port finalement rembourses depuis an qualite articles vendus degringole dernieres commandes retourner cause articles abimes presentant defauts inadmissible showroomprive debuts valable devenu site cherche refourguer invendus defectueux marques vente derniere commande part mecontentement exigeant remboursement frais port rembourse articles defectueux articles commandes sachant eme article commande non defectueux echarpe achetee complement commande amortir frais port etais cliente depuis debuts termine commanderai ,1,1103,5,11,0,11,0,10,0
bar choisi prendre plusieurs articles lingerie amortir frais port commande incomplete coup aucun sens recevoir certains articles premiere trouve vraiment site mauvais depuis ans pb derniere commande bjr impossible repondre showrromprive commande incomplete article coup sert riens sans autre frais retour payant arnaque pure dure numero commande voyons sens commercialbonjour contacte rapidement service client fournit vignette retour gratuit produit remboursement alle vite satisfaite traitement reclamation ,3,766,5,0,0,0,0,5,0
aime trop interface app trop fouilli beug peut vraies affaires bonne communication service client cas retard top ,4,169,2,1,0,1,0,2,1
jamais commander reconditionne montre apple watch jamais pu etre mise route offerte noel retour frais vers partenaire disant specialiste depuis silence radio sans reponse mails juste reponses automatiques informant demande cours ,1,313,0,1,0,1,0,7,0
commande achete sous marque like you garde robe ideale recois commande autre marque new laviva kabelle foggy marques peu honorable produits synthetique vraiment arnaque site fuire ,1,238,2,0,0,0,2,12,0
bonjour commande jamais recue toujours signalee cours livraison non livree showroomprive dit reclamer mois faite jamais colis veulent rembourser vais contacter becommerce autres bonne cliente commanderai ferai bonne publicite belle arnaque service vente ,1,419,4,0,0,0,0,5,0
commande lampadaire led devait parvenir tard janvier recu janvier contacte sav diligente enquete aupres transporteur jours fevrier recois mail disant commande annulee allais etre rembourse trouve inadmissible delai aussi long savoir devenu colis numero suivi certes obtenu remboursement semaines perdues bien entendu moindre compensation question commander site jetais client longue date ,1,608,6,0,0,0,1,11,0
souvent achete relaye certaines offres deshowrooprive site web initialsaa aider autres or fin decembre souscri abonnement bouygues telecom via showroom jamais recu puce invitee plusieur reprises bouygues telecom aller agence retirer puce contre euros supplementaires sans aucune garantie remboursement bouygues telecom refuse confirmer mail prime bouygues telecom refuse annuler commande rembourser lorsque informe showroom comportement partenaire demande preuves mail sms mail echanges telephoniques mail toutes preuves reste sans reponse dire verbalement service client etaient intermediaire gros probleme abonne bouygues telecom client showroomprive vepee offre bien meilleur service compris cas difficulte partenaire bon entendeur salut ,1,1062,4,1,0,1,1,26,0
retourne paire baskets delais fin octobre sav dit recu autre chose retour baskets expedie attends depuis mois remboursement bref heurte service client cherche manifestement comprendre probleme clientele fidele depuis nombreuses annees sans aucun litige appelle nombreuses dossier litige service compta aucun suivi client aucun rappel aucune explication aucun mail aucune gestion dossier bref sav experience client deplorables mieux vaut acheter articles trop chers plateforme cas probleme poche ,1,776,6,8,2,10,1,12,0
rentre ordre obtenu remboursement grand merci particulier monsieur ayoub suivi dossier jusqu bout coup reconcilie showroomprive annonce passee fevrier aucune reponse depuis malgre message reponse tend croire rappeles journee faux commandez certain passe commande canape commande annulee site lendemain change avis demande comportait encore mention cours preparation devait conformement lois vigueur vente cloturee telephone deux jours obtenir confirmation devait rappeler plusieurs jours desormais toujours obtenu confirmation annulation remboursement commande comporte maintenant fameuse mention cours preparation site serieux aucune consideration clientele vente forcee obtiens satisfaction previendrai toutes amies contacts retirer site connais deja comprends desormais raisons tiendrai courant reservee ,1,1359,6,6,0,6,0,19,0
bonjour passe commande robes robes sent cigarette facon significative odeur tellement forte robe etre portee utilisee avant etre envoyee ecris mail service client juste signaler fassent attention avenir reponse controlent bien font confiance fournisseurs gros croient proposent renvoyer commanderai site envoyer produits occasion chose sous entendre client ment correct tant pis ,1,660,4,0,0,0,0,8,0
retour article eur retire eur commande frais eurcar showroomprive peux parvenir etiquettes retour courrier vraiment honte ,1,211,1,0,0,0,0,2,0
sav lamentable client absolument ecoute commande pantalons coupe identique couleurs differentes pantalons devait erreur fabrication belle difference mesures retourne article retient eur montant superieur frais port initial injustifie erreur fabricant showroomprive revendeur responsable certifie responsable allait appeler attends toujours bout eme appels enfin entendue precise rembourser eur prochaine fallait mettre article trop petit preciser probleme article serieusement lamentable traiter clients deja litiges concurrent toujours ecoute respecte maintenant attends voir jours remboursement vraiment attendant prete recommander pub showroomprive ,1,1143,13,3,0,3,1,12,0
commande articles bien arrives derniere livraison acceptable livreur bien precise voulait colis detruit pouvait refuser bien precise celui ci deja mauvais etat lorsqu recu vu delais livraison remise produit conserve heureusement deux eraflures cotes ceci genait installation edifiant histoire colis deja autre etiquette carton autre date livraison autre destinataire droit demander ressemble refourgue ,2,739,3,0,0,0,0,5,0
decue traitement commande showroom mois demi commande bottines fourrees marque blackfield commande deux paires recois enfin commande temps paquet trouve deux paires taille kids demande comment genre erreur possible retrouve devoir retour surement jamais paire chaussures site mentionne remboursent font echange font erreur retrouve sans commande hesite commander coup recommanderai ,1,681,1,2,0,2,0,12,0
passe commande janvier aupres showroom prive commande devait etre livre depuis janvier jusqu ici encore recu appelle service client dit commande encours livraison peut etre annulee aujourd hui fevrier toujours recu colis appele societe livraison dise showroom contact pendant temps attendu deux maintenant font commanderai truc site demande aussi commander site serieux ,1,686,1,0,1,1,0,5,0
decu showroomprive toujours problemes livraison taille qualite arnaque achete paire chaussures depuis decembre livrer rembourse fevrier plusieurs appelez service vente vais effacer application portable ,1,351,4,0,0,0,0,7,0
service client deplorablej achete article pack comprend articles recu seulaucun geste dommage etoiles excite jamais showroomprive ,1,211,1,0,0,0,0,5,0
commande bijoux or vente recemment retourne voir surprise bijoux or plaque or matiere bijoux changee sans autre avertissement honteux commande avant recu mail annulation partie commande pu verifier ligne site articles disponibles chers paye site moins moins fiable ,1,453,3,0,0,0,0,7,0
laisse premier avis positif conseillere promis faute covid uniqlo etc date retours prolongee achete centaines euros taille reelle articles vient confirmer taille avis medical celui hopital attrape covid fallait rester depasse jours date retours promise etre rallongee considere propos conseiller auquel viens adresser injure arrogance rare soutifs veut visiblement dire chantal thomas coute rapidement fortune non etre forcee tous avis officiels rester raison aussi rassuree achetant toujours taille veux dire papier taille vetements vendent suggestion simples voleurs selon personne laquelle affaire racontent importe quoi argent vole pire auto suffisance contrairement presque autre distributeur non respect regles sanitaires premiere voulais retourner articles trois ans paye etre livre payais supplement recevoir point relais non recevoir infinity eur encore jete fenetre respecte trois ans eur debourses rendent compte perdent cliente opposent loi ,1,1644,5,0,3,3,2,22,0
commande pleine periode covid masques chirurgicaux site showroom marque dam health recoit aujourd hui boites indiquent protection contre poussiere eclaboussures encore produit unn produit sanitaire sens directive cee bref masques protection contre covid estime arnaque euros commande poubelle honteux ,1,476,1,3,0,3,1,11,0
decu commander article pendant fetes probleme livraison jamais recu impossible connecter site cause covid maintenant mois veulent savoir demande juste produit repond disposons aucun stock ,1,274,2,0,0,0,0,4,0
double erreur produits commande thomas sabo hasard envoie article moins cher sinon boucle oreille deux bracelet place bague furieuse service client contacte mail aucun effort trouver solution ,1,295,2,4,0,4,4,26,0
table basse meuble tv achete livre mois bonne table meuble tv abime mail envoi peivent rembourser meuble retourne proposent bon achat euros paye table euros inadmissible ,1,276,3,0,0,0,0,4,0
site toute evidence mal gere commande marque converse confirme recois mails er informer colis disponible point relais eme annoncer moitie rembourse faute stock reception encore mauvaise surprise sweat transforme shirt manches longues couleur motif grande generosite site offre euros dedommagement demandais recevoir commande integralite commande beaucoup sites jamais genre probleme recommanderai jamais honte ,1,660,5,0,0,0,3,21,0
jamais vu passe commande novembre robe bolero enfant noel commande devait arriver debut decembre vers semaine avant envoi recois mail informant changement lieu relais colis ok peut arriver expedition recois nouveau mail informant envoi partiel remboursement effectue appelle service client robe stock rembourse heu probleme grosse blague passe commande paye attends semaines dire assez stock job gerer stock vente commande paye fallu autant temps rendre compte tellement incompetence heure passee service client dur joindre president obtenu aucune satisfaction fille decue tenue fete galere trouver autre tenue derniere minute attendre colis arrive reparte etre rembourse eme article sc voulu savoir dit irais certainement chercher moitie tenue bref remboursement arrive courant premiere semaine janvier desinstalle application elu service client annee jamais autant ri totalement inutile aucune satisfaction arrive comprendre comment arrivez berner autant gens bref adieu showroomprive croyez pub peut etre mauvaise ,1,1739,8,13,12,25,2,28,0
honteux vendre meuble eur lieu eur vaut peine monte pietre qualite fuyez site marchand malhonnete etais pourtant fidele cliente depuis ouverture showroomprive parisien ,1,247,2,5,0,5,0,4,0
decu jamais reserve debut janvier sejour vietnam avril crise sanitaire oblige attends appel showroom fermeture frontieres toujours ecrire apeure situation voyage voyage pere fille planifiee fruit long mois economie pere diabetique risque er appel dit etat sanitaires declare frontieres fermees peux annuler possibilite decaler voyage jusqu septembre echange plusieurs mails appels demande autre date vu pere conges respectifs annonce supplement eur refuse pourquoi devrais payer supplement proposition doit etre sans frais dispositifs mis place quelque temps tard envoie mail proposer autre dates sans supplements hic mail envoie demande reponse travaillais vu mail mois relances quelques jours stipulant protection juridique indique mesures directive mise place pouvoir recuperer argent part reponse refus categorique nouvel mail reponse soucieuse risques pere veux courir risque showroom fiche decu eur somme certains surtout doit etre paille reagir ainsi commande ,1,1722,7,0,0,0,0,13,0
bonjourclient depuis plusieurs annees enormement commande site rendu compte quel point complique retour seul petit colis ensemble colisdont volumineux etre clair commande stores led voulu retourner led elles horribles reel service client repond peut uniquement transporteur colis volumineux lol ampoules led demande quel prix service client repond aucune idee raccroche tape google miracle stipule facture entre euros euros euhhh articles euros led comment dire supprime compte adieu showroomcordialement client honnete jamais retour produits ,1,853,2,0,0,0,9,46,0
commander manque toujours quelque chose aujourd hui recois colis soutien gorge valeur eur lieu montre valeur eur pitoyable service client sert dois attendre jours remboursement dois avancer argent acheter autre cadeau recommande ,1,380,2,6,0,6,0,6,0
commande ndeg recu colis destine erreur showroomprive inversion commandele colis destine renvoye via mondial relay aujourd hui fevrier plusieurs relances mail telephone fourniture preuve renvoie colis toujours remboursee articles jamais recu lettre recommandee mise demeure accuse reception va etre adressee direction generale fraudes avise regler probleme site incompetent fuyez ,1,637,5,5,0,5,0,11,0
grosse blague commandes produit recois bon encore casser tete renvoyer colis imprimante regler frais retours grosse blague vraiment beaux bouffons ,1,320,2,5,0,5,0,3,0
refuse commande shampooings point relais colis eclate gluant montant commande remboursement reponse service reclamations bug technique resume verifiez bien remboursements difference bien placee compte plusieurs jours doit rapporter ,1,331,2,5,0,5,0,4,0
bonjour encore incompetence totale services sais semaines dure signifie retour chaises charge transporteurs presentent aujourd hui pu reprendre chaises demande colis hors chaises bien livrees cartons impossible mettre colis coup laisse maison retrouve nouveau coincee reprendrez totalite commandes encore nouvelle tentative transporteur revenir chercher commande demande seule boite habitude habitude va encore moquer longtemps vraiment personne competent promis telephoner hier aujourd hui aucune nouvelle etonnee ,1,925,1,3,4,7,0,12,0
cliente showroomprive depuis plusieurs mois plusieurs commandes faites depuis novembre avere commande arrive destination livres domicile relai evidemment colis perdus trop lourds showroomprive accepte renvoyer politique clairement celle argent plutot satisfaction client inacceptable faut sans cesse contacter investigation lancee relancer remboursement bon puisqu evidemment peuvent arnaquer frais port genent fuyez ,1,651,3,1,0,1,0,11,0
toujours reponse mail telephone voyage jours pense font expres jouant situation cederais ayoud arretait dire desole faite juste travail traitant demande ,1,278,1,0,0,0,0,0,0
pires sites vente ligne sav hesite mentir clients debarrasser edit reponse ayoub peine discuter appels telephoniques sav resultat perte eur cause incompetence ,1,304,2,1,0,1,1,7,0
satisfaite commandes seul bemol emballage produits recois deux flacons shampooing carton pu loger ,3,163,0,1,0,1,0,3,0
trois commandes passees mois novembre produits arrives cassesdecembre showroom certifie livree recu retractent ensuite invoquant probleme transporteur janvier commande toujours livree encore probleme transporteur moque argent debite compte recois aucune commande rembourse ensuite argent rapporte interets site appelle escroquerie pure simple demande mettez vente articles voleurs culot offrir bon achat euros decembre janvier escrocs ,1,718,7,0,0,0,1,17,0
service client vraiment nul ecoute insulter sans telephone raccroche honte peux mettre franchement vaut largement ,1,218,3,5,0,5,0,2,0
numero commande tiens preciser commande bien depot puisque envoye preuve reception mondiale relaytout ralentir remboursement info internautes souhaitez telecharger preuve reception faut entrer numero commande sans zero puis place code postal entrez aucun code postal schworoom fonctionne ralentir remboursement ,1,465,1,0,0,0,0,8,0
recommande frais retour charge produit vraiment moyen prix eviter ,1,127,0,6,0,6,0,3,0
commande chauffage plusieurs mails nombreux appels service client finalement rembourse bizarrement reclamations paypal mots excuse aucune explications juste conserve argent mois aucun jeste commercial euros echelle beaucoup client belle tresorerie jours enquete belle rigolade toujours reponse trust pilot autre desole pourtant demande appelle voila pourtant client longue date bye bye showroom ,1,564,4,3,0,3,0,2,0
premiere commande plusieurs annees commande bottes recois bon modele mois demi attente bref demande remboursement nouvelle commande debut janvier deux robes delais attente mois deux jours livraison dise manque deux robes quils vont rembourser stock hyper decue deconseille ,1,415,4,0,0,0,0,3,0
bonjour bien contacter toujours nouvelles merci cdlt ,1,94,1,0,1,1,0,2,0
service client livraison commande poulailler janvier livreur appelle fixer livraison janvier recevons abreuvoir depuis aucune nouvelle livreur envoie email service client showroom jours ouvres tard toujours reponse appelle met attente ensuite raccrocher tronche rappelle dit dossier enquete colis ouvert reviendraient vers ici jours jai poules jai poulailler pcq font importe quoi recommanderai jamais ,2,626,1,0,0,0,5,33,0
marquise commandee mi decembre encaissement aucun probleme pr reste catastrophe produit livre defectueux reclamation faite suivant recuperee partenaire janvier cause covid bon reprise pris photo document transporteur derniere prise entre deux portes mauvaise qualite dit agrandissant voit bien agit marquise sav insinue menteuse voire voleuse puisque possede document bonne due forme reprise sav multiples relances part bien effectue recherche moins minute retrouve trace marquise bien recuperee soins dont mois reprise bientot encaissement tjs remboursee pitoyable ,1,891,6,1,1,2,3,25,0
fuyez site converti cheques cadeau showroomprive impossible noter site fonctionnalite fonctionne cheques bien eligibles vente showroomprive autruche souhaite echanger cheques contre argent prealablement avance service client zero fonctionnalite mettre code fonctionne site showroom disent vient partenaire plaisanterie ,1,465,3,1,0,1,3,23,0
juin commande sac trousse maison heritage sigle total pres eur recu sac non sigle vaguement ressemblant similicuir puant colle sorte etiquette drapeau italien trousse aucun rapport marque contrefacon ouverture litige paypal zero reponse site mails jamais pu etre dedommagee fraude illegale fuir ,1,443,4,0,0,0,0,11,0
